recipe_id,carbs,dairy,meat,oil,sugar,veg,saucy,,,,,,,
14338,,3,,,2,1,,Frozen Cranberry Salad,,,,,,
14772,1,,,,1,3,,Kangaroo Chops,,,,,,
14816,,2,,,,,,Martha's Hot Almond Spread,,,,,,
14817,,2,,,,,,Beer Dip I,,,,,,
14865,,1,1,,,,,Reuben Dip,,,,,,
15013,1,,,1,2,4,,Dirty Rice,,,,,,
15077,,2,,1,,1,,Restaurant-Style Potato Skins,,,,,,
15190,,3,,,,1,,Au Gratin Potatoes II,,,,,,
15266,,3,1,,,,,Grilled Chicken Cordon Bleu Sandwiches,,,,,,
15408,,2,,,,1,,Pasta Milan,,,,,,
15428,1,,,1,,,,Farfalle with Asparagus and Smoked Salmon,,,,,,
15518,,3,,,1,,,Eggless Butter Cake,,,,,,
15572,,1,1,,1,,,Coconut Custard Pie III,,,,,,
15795,,1,,,2,2,,Raspberry Chiffon Pie II,,,,,,
15921,,1,,,2,,,Melt In Your Mouth Toffee,,,,,,
16175,,2,,,,2,,Hot Artichoke Dip,,,,,,
16336,,3,,,1,,,Ladyfinger Cheesecake,,,,,,
16939,,2,,,,,1,Aunt Millie's Broccoli Casserole,,,,,,
16966,,2,,1,,3,,Chicken Riggies II,,,,,,
17559,,1,1,1,,1,,Anniversary Chicken II,,,,,,
17603,,2,,,1,,,Good Chocolate Pie,,,,,,
17751,,,,,1,,,Frosty,,,,,,
17834,,2,3,,,5,,Chicken and Dumplings II,,,,,,
17892,1,1,1,1,1,2,,Pineapple Macadamia Nut Bread,,,,,,
18312,,1,,,,1,,Lime Fluff,,,,,,
18328,,,1,,1,2,,Sliced Potatoes with Bacon and Parsley,,,,,,
18345,,1,,,,1,,Artichokes,,,,,,
18347,,3,,,1,1,,Blueberry Cornmeal Muffins,,,,,,
18378,,2,1,,,,,Chocolate Pecan Pie VI,,,,,,
18855,,3,,,1,2,1,Veggie Casserole,,,,,,
19073,,2,,,,,,No Bake Sugar Free Cheese Cake,,,,,,
19389,,1,,,,3,,Greek Orzo Salad,,,,,,
19416,,2,,,,,,Easy Mac 'n' Cheese,,,,,,
19555,,4,,,2,1,1,Sweet Potato Casserole VII,,,,,,
19766,,,2,,1,2,1,Six Can Chicken Tortilla Soup,,,,,,
19868,,3,1,,1,,,Jill's World-Famous Coffee Liqueur Brownies,,,,,,
20173,,3,,,,,,Rustic Country Bread,,,,,,
20324,,1,,,3,,,Wet-Bottom Shoofly Pie,,,,,,
20491,1,,1,,,1,,Ground Beef Bar-b-que,,,,,,
20657,,1,,,,,,Carla's Fruit Dip,,,,,,
20693,,,,,2,,,Champagne Peach Punch,,,,,,
20848,,,2,,,1,,Waynesboroughs,,,,,,
20989,,2,,1,2,,,Elephant Ears,,,,,,
21079,,2,,,,1,,Garlic Pita Bread Bites,,,,,,
21124,,3,1,,,,,Rich Macaroni and Tomato Bake,,,,,,
21318,,,,,1,,,Super Al's Cocktail Sauce,,,,,,
21369,,3,,,,2,1,Hash Brown Casserole III,,,,,,
21426,,4,,,,1,,Jean's Swedish Faux Meatballs,,,,,,
22271,,,,1,1,4,1,Spinach Chickpea Curry,,,,,,
22274,,2,,1,,1,,Artichoke Pie,,,,,,
22479,,,2,,1,2,1,Spicy Sausage and Rice Casserole,,,,,,
22850,,1,1,,2,,,Chewy Sugar Cookies,,,,,,
22881,,4,,1,1,,,Mom's Apple Pie II,,,,,,
22945,,2,1,,1,4,,White Chili III,,,,,,
23110,,1,2,,1,2,,Snow on the Mountain II,,,,,,
23114,,,,,1,1,,Cranana Jam,,,,,,
23133,,2,1,,2,,,David's Secret Ingredient Chocolate Chip Cookies,,,,,,
23157,,1,,,,1,,Turkey in a Bag,,,,,,
23663,,4,,,1,,,Western Pound Cake,,,,,,
23746,,1,,,2,,,Italian Almond Cookies II,,,,,,
23994,1,,,1,1,,,Oriental Vinaigrette,,,,,,
24014,,2,1,,1,,,Apple Cinnamon Oatmeal Bread,,,,,,
24124,,1,1,,,2,,Mom's Chicken Pie,,,,,,
24265,,,1,1,1,4,,Chili II,,,,,,
24403,,1,2,1,,3,1,Sicilian Sausage Soup,,,,,,
24504,,,2,,1,1,,Shrimp Paella,,,,,,
24591,,2,,,,1,,Gorgonzola Dip,,,,,,
24597,1,,,1,,4,,Oriental Spinach Salad,,,,,,
24661,1,3,,,,,,Laura's Dip,,,,,,
24695,,2,,,1,1,,Bertha's Blueberry Dumplings,,,,,,
24759,,3,,,1,,1,Squash Casserole II,,,,,,
24934,,1,,,,,,Whole Wheat Wraps,,,,,,
25169,,,,1,1,1,,French Dressing II,,,,,,
25255,,3,,,,1,,Sunshine's Company Potatoes,,,,,,
25268,,,,1,1,3,,Maria's Spanish Rice,,,,,,
25906,,,1,1,,3,,Awesome Green Beans,,,,,,
25939,,1,2,,,,1,Aunt Jewel's Chicken Dressing Casserole,,,,,,
26282,,1,,,,2,,Pastachutta,,,,,,
27138,,3,,,3,1,,Gramma's Apple Bread Pudding,,,,,,
29906,,3,1,,2,1,,Sarah Contona's Sweet Potato Pie,,,,,,
32465,,1,,,1,,,Orange Summer Cooler,,,,,,
32580,,2,,,2,,,Chocolate Mug Milkshake,,,,,,
34892,,2,1,,,2,,Krautburger,,,,,,
36772,,3,,,3,,,Maple Banana Bread,,,,,,
37246,,5,,,2,1,,Ukrainian Apple Cake (Yabluchnyk),,,,,,
38167,,,2,1,,3,,Cajun Paella,,,,,,
39534,,,1,,,3,,Tejano Style Shrimp Cocktail,,,,,,
41679,,2,1,,1,,,Banana Cranberry Bread,,,,,,
45396,,2,,1,1,,,Easy Pancakes,,,,,,
46490,,,,,,2,,Schweinshaxe,,,,,,
46704,,,2,1,1,4,,Texas Jambalaya,,,,,,
46838,,2,,,1,2,,Smushed Apples and Sweet Potatoes,,,,,,
46982,,,1,1,,1,,Pesto Pasta with Chicken,,,,,,
49334,1,4,,,1,,,Honey Buttermilk Oatbread,,,,,,
49713,,,,,,2,,Dandelion Salad,,,,,,
49986,,2,,,1,,,Vanilla Milkshake IV,,,,,,
50220,1,,,1,1,3,,Babi's Bean Salad,,,,,,
50836,,1,1,1,1,2,1,Curry-Coconut Shrimp,,,,,,
50843,,1,,1,,2,,Fig and Olive Tapenade,,,,,,
53602,,1,1,,1,1,,Doughnut Bread Pudding,,,,,,
54047,,3,,,,1,,Chef Nick's Amazing Calamari,,,,,,
56225,,1,,,1,1,,Fried Sweet Potatoes,,,,,,
58364,,1,,,1,1,,Rice-so-Nice,,,,,,
59343,,1,2,2,2,3,1,Scottie's Chicken Tortilla Soup,,,,,,
59768,,2,2,,,1,,The Munroe Melt,,,,,,
59868,1,,1,,,,,Robey's Blue Crab Deviled Eggs,,,,,,
61680,,,,2,,5,,Emily's Famous Roasted Vegetable Salad,,,,,,
61688,,,,,,4,,My Ambrosia,,,,,,
63248,,5,,,,2,,Absolutely Delicious Stuffed Calamari,,,,,,
64450,1,,,1,1,,,Chinese Braised Spare Ribs,,,,,,
65486,,1,,,,1,,Bolas de Mani (Peanut and Plantain Balls),,,,,,
67629,,,,,,2,,Venison Tenderloin,,,,,,
68813,,,1,1,1,3,,Spicy Basil Chicken,,,,,,
70490,,3,1,,,2,,Sonora Chicken,,,,,,
70628,,2,2,,,,,Quick and Easy Eggs Benedict,,,,,,
70909,1,1,1,,1,1,,Jill's Sweet and Tangy Meatloaf,,,,,,
71722,1,,1,2,,2,,Asian Lettuce Wraps,,,,,,
72668,1,1,,,,3,,Strawberry and Feta Salad II,,,,,,
72747,,3,1,,1,1,,Blueberry-Lemon Pound Cake,,,,,,
72767,,1,,,,1,,Poor Man's Sandwich,,,,,,
74054,,,,1,,3,,Spinach Cantaloupe Salad with Mint,,,,,,
74203,1,2,,,2,1,,Kheer (Rice Pudding),,,,,,
74551,,2,1,,,1,1,Spinach and Yogurt Soup,,,,,,
74654,,1,,1,,1,,Artichokes in a Garlic and Olive Oil Sauce,,,,,,
74755,,2,,,1,1,,Apple Milkshake,,,,,,
74941,,2,1,,1,,,Coconut Kugel,,,,,,
74950,1,,,,2,,,My Amish Friend's Caramel Corn,,,,,,
75108,,3,,,2,,,Raspberry Cheesecake Stuffed French Toast,,,,,,
75153,,,,1,,3,,Cumin and Coriander Chickpea Salad,,,,,,
75431,,,,,,2,1,Citrus Turkey Brine,,,,,,
75733,,,1,,,,,Authentic Green Goddess Dressing,,,,,,
76604,,2,1,,,,,Make-Ahead Turkey Gravy,,,,,,
76899,,1,1,,,,,Slow Cooker Thanksgiving Turkey,,,,,,
79311,,1,,,1,1,,Creamed Cucumber Slices,,,,,,
80328,,,1,,,1,,Kofta,,,,,,
82734,1,,,1,,1,,Tammy's Tangy Chops,,,,,,
83428,,2,1,,,,1,Pizza Casserole II,,,,,,
83548,,3,1,,,,1,Grandma's Dried Beef Casserole,,,,,,
84012,1,3,,,1,3,,Ginny's Cauliflower and Pea Salad,,,,,,
84014,1,,,1,1,1,,Baked Round Steak in Barbeque Sauce,,,,,,
85816,,,,,,1,,Georgia Cracker Salad,,,,,,
86811,1,,1,1,,3,,Cuban Smoked Sausage with Chickpeas,,,,,,
86975,,,,1,,1,,Poor Mamma's Spaghetti,,,,,,
87271,1,,,1,2,3,,Vegan Baked Beans,,,,,,
88020,1,,,,,,,Fizzy Gelatin Salad,,,,,,
88920,,,,,1,1,,Zucchini Relish,,,,,,
88924,,,1,1,,1,,Tender Tomato Chicken Breasts,,,,,,
89338,,1,1,1,,4,1,Sweet Potato Chicken Casserole,,,,,,
89855,,2,,,2,,,Ginger Pear Crisp,,,,,,
91735,,2,,,,,,Chocolate Peanut Butter Swirl Fudge,,,,,,
94582,,,,,1,1,,Frosted Cranberries,,,,,,
95318,,1,1,,,2,,Grandma's Cracker Dressing,,,,,,
95753,,1,,1,,4,1,Funky Enchilada Casserole,,,,,,
96951,,,,,1,,,Pisco Sour,,,,,,
97646,,,,1,,1,,Slow Cooker Apple-Scented Venison Roast,,,,,,
103887,1,4,,3,1,1,,Ginger-Scallion Crusted Salmon,,,,,,
104291,,2,,,,3,,Chipotle Sweet Potatoes,,,,,,
105072,,2,,,1,,,Easy Passion Fruit Mousse,,,,,,
106232,,2,,1,,2,,Pan Roasted Beef Tenderloin with Ginger-Shiitake Brown Butter,,,,,,
109297,1,,,2,,1,,Cedar Planked Salmon,,,,,,
111933,,,1,1,,1,,Venison Bacon Burgers,,,,,,
112273,,,,,1,2,,Venison Salami,,,,,,
126236,,1,,,1,,,Ancho Chile Rubbed Venison Steaks with Lime-Cilantro Butter,,,,,,
130808,,1,,1,,5,1,Mom's Portuguese Beef Stew,,,,,,
131198,,1,1,1,,2,,Tropical Shrimp Scampi,,,,,,
132277,,2,,,2,,,Holiday Cherry Pie,,,,,,
135731,,1,1,1,1,2,,Bobotie from Boschendal Manor House,,,,,,
141549,,2,1,,2,1,1,Potlatch Fall Harvest Soup,,,,,,
142031,,,,1,,3,,Roasted Pepper-Avocado Salsa,,,,,,
142435,,1,,,1,,,Nectarine Blush,,,,,,
142709,1,,,1,,,,Vegetarian Lentil Spaghetti,,,,,,
143117,,1,1,,,2,,Easy Breakfast Nachos,,,,,,
143467,,2,1,,2,1,,Spumoni Chocolate Chip Cookies,,,,,,
144059,1,3,1,,1,1,,Jumbo Breakfast Cookies,,,,,,
144185,,1,,,1,1,,Fresh Fruit Ice Cream in a Baggie,,,,,,
146032,,,,1,,1,,Nicole's Garbanzo-Citrus Spread,,,,,,
146467,,3,,,1,,,Banana-Dulce de Leche Pie (Banana-Caramel Pie),,,,,,
147023,,,,,1,,,Christmas Red Pickles,,,,,,
148498,,1,1,,,1,,Beer-Boiled Shrimp,,,,,,
150193,,,,,1,1,,Garden Meatloaf,,,,,,
150427,2,,1,2,1,1,,Hiyashi Chuka Noodles,,,,,,
151010,,,,,,1,,Duck Confit,,,,,,
155715,,1,1,1,2,1,,Cherry Mandlbrodt,,,,,,
156468,,,,,,1,,Caribbean Breeze,,,,,,
159524,,,1,2,,,1,Chicken with Wild Rice and Vegetables Casserole,,,,,,
159633,,2,,,1,1,,Broccoli with Poppy Seed Sauce,,,,,,
162029,,,,,,2,,Flat Iron Steak Simplicity!,,,,,,
162091,,1,,1,,2,,Awesome Red Wine Pot Roast,,,,,,
165587,1,,1,,1,1,,Bacon Wrapped Pineapple and Water Chestnuts,,,,,,
166933,,,2,,,1,,Meatloaf Muffins,,,,,,
168881,,,,1,1,1,,Garlic Teriyaki Edamame,,,,,,
170270,,,2,,2,3,1,Indiana Corn Chowder,,,,,,
171282,,,1,,,3,,Bloody Mary Ceviche,,,,,,
172317,,,,1,,3,,No Mess Squash on the Barbeque,,,,,,
173638,,1,,1,,1,,Roasted Garlic Dip,,,,,,
174421,,1,,1,,5,,Wilted Spinach with Cherries and Goat Cheese,,,,,,
174836,,2,,,2,,,Glazed Orange Spice Cookies,,,,,,
175600,,3,,,,,,Super Easy Scones,,,,,,
176263,,,,1,,2,,Quick and Yummy Hummus,,,,,,
177497,,1,2,1,2,,,Chicken Creole with Chile Cream Sauce,,,,,,
177843,,,3,1,1,,,Pre-Game Paella,,,,,,
178151,,2,1,,2,,,"Felix K.'s 'Don't even try to say these aren't the best you've ever eaten, because they are' Chocolate Chip Cookies",,,,,,
178742,,1,2,,,2,,Dublin Coddle,,,,,,
179528,,,,,,1,,Glorified Baked Cabbage,,,,,,
185158,,,,,,4,,Greek Goddess Pasta Salad,,,,,,
186255,,2,,,1,,,Cheese Crepe Souffle,,,,,,
192524,,,1,1,,5,1,My Favorite Chicken and Wild Rice Soup,,,,,,
193307,1,1,,,1,,,Easy Mochi,,,,,,
201143,,1,1,,,3,1,Beef Mac Casserole,,,,,,
203223,,1,,,,1,,Haydari (Turkish Yogurt Dip),,,,,,
203322,,2,1,1,2,,,Caribbean Zucchini Bread,,,,,,
206162,,3,1,1,,3,,Legume My Shepherd's Pie,,,,,,
206311,,3,,,3,,,Peanut Butter and Honey No-Bake Cookies,,,,,,
206680,1,,,1,,,,Crawfish Cakes,,,,,,
206870,,,,1,1,4,,Beef Brisket with Chipotle Tomatillo Sauce,,,,,,
213575,,2,,,,2,,Crawfish Pie,,,,,,
213757,,,1,,,3,1,Emma's Slow Cooker Clam Chowder,,,,,,
213939,,1,,,,1,,Horsey Parsnip Puree,,,,,,
213996,,,,1,,1,,Avocado and Edamame Dip,,,,,,
214432,,1,,1,,,,Xavier Steak,,,,,,
214706,,,1,,1,2,1,Easy Green Chile Stew,,,,,,
214755,,1,1,,,2,,Beet Stump Pot,,,,,,
214980,,4,1,,3,,,Cappuccino Pound Cake with Bittersweet Chocolate,,,,,,
215033,,2,,,,,,Jennie's Heavenly Slow Cooker Chicken,,,,,,
215052,,,,1,,,,Gourmet Microwave Popcorn,,,,,,
215105,1,1,1,1,,3,,Cheddar-Topped Veggie Beef Skillet Dinner,,,,,,
215479,,1,,1,,4,,Warm Green Bean and Potato Salad with Goat Cheese,,,,,,
215730,,,,,1,,,Brandied Candied Walnuts,,,,,,
215783,,,,1,,1,,Zucchini Orzo,,,,,,
215787,,,2,,,1,,Grilled BBQ Meatloaf,,,,,,
215908,,5,,,,1,,Cheddar Onion Drop Biscuits,,,,,,
216100,,,1,,,5,1,Split Pea Smoked Turkey Soup,,,,,,
216440,,3,2,,1,1,,Chicken Breasts in a Sour Cream and Wine Sauce,,,,,,
216523,,1,1,,1,,,Applesauce Pie,,,,,,
216539,,2,,1,,2,,Oven Baked Garlic and Parmesan Fries,,,,,,
217099,,1,2,1,,,,Chicken In the Yellow Bowl,,,,,,
217303,,,,,,4,,Hearty Vegetable Salad,,,,,,
218178,,1,,,,1,1,Nina's Russian Cold Beet Soup (Kholdnyk),,,,,,
218437,,2,,1,2,1,,Sour Cherry Pudding Cake,,,,,,
218466,,2,,1,1,,,The French Bread,,,,,,
218718,,,,1,1,,,Basmati with Toasted Noodles,,,,,,
218901,,,2,1,,6,,Beef Enchiladas with Spicy Red Sauce,,,,,,
218987,1,,,,1,1,,Spicy Habanero Dipping Sauce,,,,,,
219506,,,2,,,3,,Sausage and Mushroom Stuffing,,,,,,
219654,1,,,1,,1,,Spanish-Style Swiss Chard with Raisins and Pine Nuts,,,,,,
219909,,,,1,,1,,Breakfast Apples,,,,,,
219933,,2,1,,,1,,Benny's Famous Jalapeno Poppers,,,,,,
220226,,2,,1,,1,,Buck's Italian-Grilled Asparagus,,,,,,
220393,1,2,,1,1,6,1,Stacked Fajita Vegetable Enchilada Casserole,,,,,,
220460,,1,,1,,4,1,Raleys Irish Corned Beef Stew,,,,,,
220643,,6,,1,,3,,Gina's Creamy Mushroom Lasagna,,,,,,
220754,,4,,,,2,,Cheesy Rutabaga Bake,,,,,,
220808,,1,1,1,2,3,,Pineapple Upside Down Cupcakes,,,,,,
220923,2,,,,,3,,Ham Salad for Two,,,,,,
221132,1,,,,1,1,,Magnificent Macaroni Salad,,,,,,
221333,,2,,,3,,,Maja Blanca,,,,,,
221381,,1,,1,,2,,Curried Cottage Fries,,,,,,
221919,,1,1,,,2,,Easy Black Bean Taco Salad,,,,,,
222045,,,,1,,4,,Beet Greens and Green Beans with Tomato and Onion,,,,,,
222099,,1,1,,,,,Healthier Chicken Cordon Bleu I,,,,,,
222220,,,,,,3,,Peppery Coleslaw with Cucumbers and Celery,,,,,,
222325,,2,1,,1,,,Mango Bread,,,,,,
222337,,3,1,,,1,,Brown Butter Pineapple Corn Muffins,,,,,,
222353,,2,1,1,1,1,,Corn Cob Puppies (Corn Dogs),,,,,,
222361,,1,,2,,,,Prim's Basil-Wrapped Goat Cheese Balls,,,,,,
222373,2,,,,,3,,Salmon Burgers with Lemon Basil Mayo,,,,,,
222506,,1,1,,,2,,Polish Sausage and Pierogy Haluski,,,,,,
222614,,4,,,,1,,Creamy Twice-Baked Potatoes,,,,,,
222657,1,,,1,,4,1,Indian Sweet Potato and Lentil Soup,,,,,,
222781,,1,1,,,1,,Mushroom and Swiss Burger,,,,,,
222906,,,,,,1,,Creamy Arugula Sauce,,,,,,
223275,,4,,,1,5,1,Deep Dish Pea and Vegetable Casserole,,,,,,
223344,,,,1,1,5,,Summery Bean Salad,,,,,,
223346,,2,,2,1,5,,Veggie Turkey Meatloaf with Tangy Balsamic Glaze,,,,,,
223497,,,,,1,2,,Watermelon Summertime Slush,,,,,,
227993,,4,1,,1,3,,Creamy Cheddar Beef Enchiladas,,,,,,
228981,2,,,1,1,4,,Sashimi Tuna Salad With Mint Lime Cilantro Dressing,,,,,,
228984,2,,3,1,,3,,"Pearl Couscous with Lentils, Carrots, Spinach, and Corn",,,,,,
229132,,,,1,,,,Beef Sirloin Tip Roast with Mushrooms,,,,,,
229287,,1,1,1,,3,,Shrimp Pasta with Tomato Basil Sauce,,,,,,
229439,,,,,,1,,Polynesian Meatballs,,,,,,
229530,1,,,1,,2,,Hot Salmon Salad with Maille® Honey Dijon Mustard,,,,,,
229557,,3,1,,,,,Garlic Sausage and Pasta in a Bechamel Sauce,,,,,,
229892,,,,,2,,,Amazing Apple Butter,,,,,,
229940,1,1,,,,,,Chicken Ranch Dijon,,,,,,
230277,,,1,1,,1,1,Smoked Chipotle Tomato Basil Soup,,,,,,
230321,,,,1,1,3,,Sweet and Sour Chicken Using Italian Dressing and Apricot Jam,,,,,,
230976,,1,,,1,,,Soft Homemade Pretzels,,,,,,
231002,,1,,,,1,,Creamy Cucumber Tomato Salad,,,,,,
231464,,1,,,1,3,,Mushroom Honey Lager Sauce,,,,,,
231776,,1,1,,2,,,Hedgehog Cookies,,,,,,
231829,,3,,,,,,Low-Carb Chocolate Peanut Butter Smoothie,,,,,,
231852,,2,,,,,,Baked Plantain with Cheese,,,,,,
231920,,1,,,,,,Wine and Rosemary Couscous,,,,,,
232296,,1,,1,,1,,Tuna Pita Melt,,,,,,
232473,,1,1,,1,1,,Mom's Pineapple Bread Pudding,,,,,,
232479,1,2,,,,4,,Baked Eggplant Antipasto,,,,,,
232534,,1,,,,,,Coconut Cream Dip,,,,,,
232791,,,1,1,,1,1,Chilled Sugar Snap Pea Soup,,,,,,
232840,,2,,1,,,,Super Quick Biscuit Squares,,,,,,
232969,,1,1,,,1,,Bacon-Wrapped Dates Stuffed with Manchego Cheese,,,,,,
233274,1,1,,,1,2,,Watermelon-Cucumber Salad with Sushi Vinegar and Lime,,,,,,
233600,,4,,,,1,,Savory Seafood Pizza,,,,,,
233794,,,2,,,3,,Slow-Cooked Green Beans,,,,,,
234340,,2,,,,,,Frankly Super Supper,,,,,,
234467,,,1,,,10,,The Herd's Tailgate Chili,,,,,,
234498,,,1,,,3,1,Slow Cooker Taco Bean Soup,,,,,,
234576,,1,1,,,,,Grands!® Unsloppy Joes,,,,,,
234788,,1,1,,1,2,,Lemon Mint Pound Cake,,,,,,
234940,,,1,1,,,,Sausage-Stuffed Cherry Pepper Poppers,,,,,,
235077,,1,1,,,4,,Mushroom and Bacon Green Beans,,,,,,
235161,1,,,,1,,,Ape's Pulled Pork,,,,,,
235221,,1,,,1,1,,Low-Fat Pumpkin Chocolate Chip Bread,,,,,,
235517,,2,1,,2,,,Brown Sugar Cookies,,,,,,
235862,,,2,1,,,1,Chicken and Hominy Soup with Lime and Cilantro,,,,,,
235886,1,1,,1,1,2,,Gluten Free Gingerbread Drops,,,,,,
235901,1,2,,1,,1,,Peppercorn Roast Beef,,,,,,
236250,,1,,,1,,,Skillet Apples with Cinnamon,,,,,,
236291,,2,,,1,,,Viennexican Coffee,,,,,,
236560,,,,,1,1,,Very Orange Smoothie without Oranges,,,,,,
236640,,,,,,1,1,Salmon Casserole Wrap,,,,,,
236731,,,,1,1,6,1,Tender Pork Stew with Beans,,,,,,
236873,,2,2,,1,2,,Chicken and Rice in Creamy Sauce,,,,,,
236929,,,1,,,3,,Easy Cowboy Beans (Frijoles Charros),,,,,,
237125,,1,,,,1,,Orange Tilapia,,,,,,
237157,,1,,,,,,Easy Strawberry Fruit Dip,,,,,,
237216,1,1,,1,,2,,'Meat's Too Expensive!' Vegetarian Burgers,,,,,,
237481,1,1,,,,1,,Tasty Strawberry Smoothie,,,,,,
237584,,,,2,,3,,Curried Quinoa Veggie Bowl,,,,,,
237598,,5,1,,3,,,Chocolate Cream Puff Swans,,,,,,
237695,,1,1,1,,3,,The Shorba Freekeh of Algeria,,,,,,
237718,,,,,2,1,,Frozen Strawberry Smoothie Bars,,,,,,
237774,,1,,,,,,Mango Mousse,,,,,,
237871,,1,,,,,,Creamy Nacho Dip,,,,,,
238068,,,,,1,1,,Mango Watermelon Smoothie,,,,,,
238089,,,,,,1,,Twisted Colada Protein Smoothie,,,,,,
238390,,,,,,3,,Super Thick N' Beefy Chili,,,,,,
238454,,2,,,,1,,Grilled Spaghetti Sandwich,,,,,,
238851,,2,,,,1,,Cucumber Sandwich Spread,,,,,,
238884,,,,1,,2,,Paleo Artichoke Bruschetta,,,,,,
238919,,1,,1,,1,,Stacked Tomato and Burrata Salad,,,,,,
239080,,1,,,,2,,Grandma's Lemon Cauliflower Side Dish,,,,,,
239163,1,,1,,,,,Simple and Flavorful Salisbury Steak,,,,,,
239249,,,,1,,,,Crispy Chipotle Roasted Smashed Potatoes,,,,,,
239271,,1,,1,2,2,,Chocolate Chip and Pumpkin Bread,,,,,,
239389,,2,2,,,3,1,Marie's Fish Chowder,,,,,,
239404,,3,1,,,2,,Creamy Cabbage with Noodles,,,,,,
239575,,,,1,,,,Nori Chips,,,,,,
239739,,,,,1,,,Gingered Pear Martini,,,,,,
239814,,2,,,1,,,Lois' Bread Pudding,,,,,,
